id,world,seed,repeat,checkpoint_steps,planner,steps,max_steps,travel_m,start_dist_m,dist_to_goal_m,min_dist_to_goal_m,min_dist_step,net_disp_m,cells_visited,min_clear_m,stopped_steps,collisions,hit_unknown,reached_goal,r_progress,r_coverage,r_time,r_stop,r_clear,r_seen,r_revisit,r_terminal,goal_tol_m,robot_r,goal_x,goal_y
0,maze,101,0,149994,policy,3000,3000,207.53858947753906,44.0926628112793,12.183093070983887,9.507828712463379,2468,33.8223762512207,132,0.7331586480140686,0,0,0,0,153.41513061523438,44.90537643432617,-2.999964952468872,0.0,-0.2981812059879303,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
1,maze,101,1,149994,policy,3000,3000,208.89366149902344,44.0926628112793,19.76760482788086,9.507430076599121,2357,26.99248695373535,142,0.7763660550117493,0,0,0,0,122.43517303466797,48.30728530883789,-2.999964952468872,0.0,-0.07523708045482635,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
2,maze,102,0,149994,policy,3000,3000,45.666507720947266,26.98373794555664,14.282065391540527,7.767648220062256,353,20.994998931884766,44,0.784111499786377,2367,0,0,0,155.6121063232422,24.459184646606445,-2.999964952468872,-236.7052459716797,-27.885805130004883,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
3,maze,102,1,149994,policy,3000,3000,164.18910217285156,26.98373794555664,1.341171145439148,0.07436321675777435,1210,28.308429718017578,77,0.830821692943573,0,0,0,0,209.8185272216797,42.803550720214844,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
4,maze,103,0,149994,policy,3000,3000,195.62179565429688,36.81302261352539,15.793177604675293,12.428716659545898,1333,24.356679916381836,87,0.688463032245636,0,0,0,0,132.32652282714844,35.44942855834961,-2.999964952468872,0.0,-1.6342343091964722,0.0,0.0,0.0,3.0,0.6,28.44996452331543,28.44996452331543
5,maze,103,1,149994,policy,3000,3000,187.8248748779297,36.81302261352539,13.995254516601562,12.47991943359375,2881,24.219690322875977,72,0.7415927052497864,0,0,0,0,131.58218383789062,29.33746910095215,-2.999964952468872,0.0,-0.2585807740688324,0.0,0.0,0.0,3.0,0.6,28.44996452331543,28.44996452331543
6,maze,104,0,149994,policy,3000,3000,130.82327270507812,39.78676986694336,39.690792083740234,26.93135643005371,553,1.5346940755844116,49,0.7670884728431702,620,0,0,0,7.714527606964111,18.47347640991211,-2.999964952468872,-61.99962615966797,-8.882030487060547,0.0,0.0,0.0,3.0,0.6,22.45723533630371,37.262062072753906
7,maze,104,1,149994,policy,3000,3000,165.98553466796875,39.78676986694336,33.80156326293945,26.88182830810547,1236,6.4168925285339355,57,0.7904881238937378,0,0,0,0,32.256500244140625,21.489559173583984,-2.999964952468872,0.0,-0.0056558153592050076,0.0,0.0,0.0,3.0,0.6,22.45723533630371,37.262062072753906
8,maze,105,0,149994,policy,3000,3000,102.96388244628906,50.997222900390625,35.74189758300781,35.03081512451172,364,17.762256622314453,48,0.7643736004829407,1149,0,0,0,69.65971374511719,14.118426322937012,-2.999964952468872,-114.89881896972656,-0.09511066228151321,0.0,0.0,0.0,3.0,0.6,36.20426559448242,41.73569107055664
9,maze,105,1,149994,policy,3000,3000,95.23356628417969,50.997222900390625,51.31794738769531,35.13752746582031,330,2.6187362670898438,53,0.7458308339118958,1318,0,0,0,10.270159721374512,15.589097023010254,-2.999964952468872,-131.79884338378906,-0.6734858155250549,0.0,0.0,0.0,3.0,0.6,36.20426559448242,41.73569107055664
10,maze,106,0,149994,policy,3000,3000,136.6721649169922,20.522558212280273,1.759604811668396,0.11249857395887375,546,21.51932716369629,51,0.8516754508018494,0,0,0,0,209.71405029296875,37.27606964111328,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,16.57559585571289,16.57559585571289
11,maze,106,1,149994,policy,3000,3000,168.77586364746094,20.522558212280273,4.263519287109375,0.49871209263801575,2329,17.435117721557617,58,0.6474354863166809,0,0,0,0,169.91200256347656,42.39239501953125,-2.999964952468872,0.0,-1.636955976486206,0.0,0.0,0.0,3.0,0.6,16.57559585571289,16.57559585571289
12,maze,101,0,0,random,3000,3000,148.50624084472656,44.0926628112793,27.30559730529785,22.704721450805664,804,21.55130958557129,61,0.8789859414100647,0,0,0,0,97.75467681884766,20.751758575439453,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
13,maze,101,1,0,random,3000,3000,195.7383575439453,44.0926628112793,19.83153533935547,10.070100784301758,2399,24.336734771728516,169,0.818252682685852,0,0,0,0,110.38910675048828,57.49243927001953,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
14,maze,102,0,0,random,3000,3000,41.486026763916016,26.98373794555664,28.031326293945312,22.932538986206055,95,1.048974633216858,13,0.9284196496009827,2019,0,0,0,7.774862289428711,7.22657585144043,-2.999964952468872,-201.9031219482422,0.0,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
15,maze,102,1,0,random,3000,3000,136.07589721679688,26.98373794555664,22.165578842163086,21.478954315185547,164,5.197397232055664,16,0.8504741191864014,0,0,0,0,38.52254104614258,8.894247055053711,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
