train_seed,id,world,seed,repeat,checkpoint_steps,planner,steps,max_steps,travel_m,start_dist_m,dist_to_goal_m,min_dist_to_goal_m,min_dist_step,net_disp_m,cells_visited,min_clear_m,stopped_steps,collisions,hit_unknown,reached_goal,r_progress,r_coverage,r_time,r_stop,r_clear,r_seen,r_revisit,r_terminal,goal_tol_m,robot_r,goal_x,goal_y
7,0,maze,101,0,149994,policy,3000,3000,131.6697235107422,44.0926628112793,47.02186584472656,41.8132209777832,49,3.1206746101379395,10,0.7115154266357422,0,0,0,0,14.155083656311035,3.4019269943237305,-2.999964952468872,0.0,-0.18731996417045593,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
7,1,maze,101,1,149994,policy,3000,3000,139.88316345214844,44.0926628112793,46.92314147949219,41.62841796875,56,3.0119895935058594,12,0.8232213854789734,0,0,0,0,13.66207218170166,4.08231258392334,-2.999964952468872,0.0,0.0,0.0,0.0,0.0,3.0,0.6,36.94566345214844,31.30017852783203
7,2,maze,102,0,149994,policy,336,3000,18.774063110351562,26.98373794555664,28.1960506439209,23.372156143188477,128,1.2188493013381958,12,0.592210054397583,0,1,1,0,9.033958435058594,6.670685291290283,-0.3359992206096649,0.0,-7.816499710083008,0.0,0.0,-300.0,3.0,0.6,17.088871002197266,24.572813034057617
7,3,maze,102,1,149994,policy,3000,3000,31.933143615722656,26.98373794555664,28.01540756225586,23.402334213256836,77,1.0328575372695923,11,0.8718923330307007,2279,0,0,0,7.655420780181885,6.114794731140137,-2.999964952468872,-227.9047088623047,0.0,0.0,0.0,0.0,3.0,0.6,17.088871002197266,24.572813034057617
7,4,maze,103,0,149994,policy,190,3000,11.040061950683594,36.81302261352539,37.16262435913086,34.22612762451172,57,0.9617917537689209,9,0.590787947177887,0,1,1,0,5.22528076171875,3.6671805381774902,-0.19000020623207092,0.0,-1.7612278461456299,0.0,0.0,-300.0,3.0,0.6,28.44996452331543,28.44996452331543
7,5,maze,103,1,149994,policy,537,3000,31.91892433166504,36.81302261352539,38.121395111083984,30.794355392456055,232,1.319303035736084,22,0.5822135210037231,0,1,1,0,7.1676025390625,8.96422004699707,-0.5369966626167297,0.0,-1.2455132007598877,0.0,0.0,-300.0,3.0,0.6,28.44996452331543,28.44996452331543
7,6,maze,104,0,149994,policy,3000,3000,35.29903793334961,39.78676986694336,41.843788146972656,30.434326171875,279,2.0798654556274414,30,0.7931567430496216,2434,0,0,0,10.45510196685791,11.310291290283203,-2.999964952468872,-243.40565490722656,-0.4635820984840393,0.0,0.0,0.0,3.0,0.6,22.45723533630371,37.262062072753906
7,7,maze,104,1,149994,policy,229,3000,14.474111557006836,39.78676986694336,31.411130905151367,31.403446197509766,226,11.174448013305664,15,0.590230405330658,0,1,1,0,56.171688079833984,5.655147552490234,-0.2290002852678299,0.0,-1.1675325632095337,0.0,0.0,-300.0,3.0,0.6,22.45723533630371,37.262062072753906
7,8,maze,105,0,149994,policy,3000,3000,129.6891632080078,50.997222900390625,46.94335174560547,46.795555114746094,174,7.092279434204102,10,0.7675836086273193,0,0,0,0,27.81436538696289,2.9413368701934814,-2.999964952468872,0.0,-0.11082269251346588,0.0,0.0,0.0,3.0,0.6,36.20426559448242,41.73569107055664
7,9,maze,105,1,149994,policy,3000,3000,64.97278594970703,50.997222900390625,53.845611572265625,46.280033111572266,132,2.876307964324951,22,0.6556076407432556,1517,0,0,0,11.280266761779785,6.470941066741943,-2.999964952468872,-151.70005798339844,-2.56101393699646,0.0,0.0,0.0,3.0,0.6,36.20426559448242,41.73569107055664
